             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          12237060       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237061       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12237062       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221562       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221563       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221564       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
   12260394_[1-32]       a40 sweep-ma    wulin PD       0:00      1 (Priority)
  12260380_[19-64]       a40 sweep-ma    wulin PD       0:00      1 (Resources)
          12260409       a40 eval-shr   pritam PD       0:00      1 (Priority)
          12260407       a40 eval-pop   pritam PD       0:00      1 (Priority)
          12260408       a40 eval-cha   pritam PD       0:00      1 (Priority)
          12260405       a40 eval-shr   pritam PD       0:00      1 (Priority)
          12260404       a40 eval-cha   pritam PD       0:00      1 (Priority)
          12260403       a40 eval-pop   pritam PD       0:00      1 (Priority)
          12260401       a40 eval-shr   pritam PD       0:00      1 (Priority)
          12260399       a40 eval-pop   pritam PD       0:00      1 (Priority)
          12260396       a40 eval-pop   pritam PD       0:00      1 (Priority)
          12260397       a40 eval-cha   pritam PD       0:00      1 (Priority)
          12260398       a40 eval-shr   pritam PD       0:00      1 (Priority)
          12260400       a40 eval-cha   pritam PD       0:00      1 (Priority)
          12260364       a40 MaxViTRN     momo PD       0:00      1 (Priority)
          12241917       a40     fp_0   rossyu  R 1-08:53:43      1 gpu041
          12242436       a40 bias_ide ws_bbhim  R 1-01:29:56      1 gpu012
          12243491       a40 bias_ide  chufluo  R 1-00:55:01      1 gpu030
          12239445       a40 eb751776      llm  R 1-15:52:46      1 gpu014
          12239441       a40 78fcbb67      llm  R 1-15:58:57      1 gpu003
          12239505       a40 60e7d1ff      llm  R 1-15:38:23      1 gpu004
          12239471       a40 cd5378f8      llm  R 1-15:46:36      1 gpu007
          12239665       a40 b3871a00      llm  R 1-14:52:13      1 gpu034
          12239624       a40 7389b196      llm  R 1-15:23:33      1 gpu015
          12239514       a40 a33c0f4d      llm  R 1-15:29:41      1 gpu029
          12239815       a40 d0ab8043      llm  R 1-14:37:34      1 gpu009
          12239936       a40 47a9b6b3      llm  R 1-14:08:13      1 gpu011
          12240418       a40 a99db30d      llm  R 1-13:38:53      1 gpu033
          12240496       a40 1004f056      llm  R 1-13:04:01      1 gpu046
          12240508       a40 99bee87e      llm  R 1-12:46:33      1 gpu013
          12259129       a40 b486d208      llm  R    3:11:29      2 gpu[053-054]
          12260339       a40 3dff31a2      llm  R      42:37      2 gpu[039,047]
          12260335       a40 49dc8ba9      llm  R      44:37      2 gpu[028,042]
          12260414       a40     bash  ws_htao  R       9:40      1 gpu032
          12260338       a40 simclr_s sayromlo  R      11:51      1 gpu043
          12221637       a40 sweep_17 jacobtia  R    1:20:22      1 gpu010
          12221636       a40 sweep_17 jacobtia  R    2:08:36      1 gpu035
          12221635       a40 sweep_17 jacobtia  R    2:47:32      1 gpu002
          12260297       a40     bash  gsutter  R    1:49:02      1 gpu027
          12239503       a40 HUVEC-01  znavidi  R 1-15:41:58      1 gpu031
          12260323       a40     bash  brandon  R    1:13:41      1 gpu029
          12260327       a40 script_l   zining  R    1:05:07      1 gpu006
          12254329       a40 be_img_p sriharsh  R   18:26:08      1 gpu038
          12258556       a40 train_at    akore  R   11:49:23      1 gpu003
          12258112       a40 househol  weipang  R   12:29:28      1 gpu007
          12258111       a40 individu  weipang  R   12:30:34      1 gpu001
          12258555       a40 2side_se  weipang  R   11:50:23      1 gpu050
          12258526       a40 2side_se  weipang  R   11:50:54      1 gpu045
          12258452       a40 2side_se  weipang  R   11:51:26      1 gpu045
          12258449       a40 2side_se  weipang  R   11:52:34      1 gpu004
          12258448       a40 2side_se  weipang  R   11:53:41      1 gpu038
          12258446       a40 2side_se  weipang  R   11:54:14      1 gpu027
          12258447       a40 2side_se  weipang  R   11:54:14      1 gpu029
          12258445       a40 2side_se  weipang  R   11:54:23      1 gpu006
          12260318       a40   bei_p3 sriharsh  R    1:30:58      1 gpu005
          12260322       a40   bei_p4 sriharsh  R    1:17:54      1 gpu008
          12260325       a40   bei_p5 sriharsh  R    1:07:53      1 gpu014
          12260334       a40   bei_p6 sriharsh  R      58:17      1 gpu015
          12260342       a40   bei_p7 sriharsh  R      48:12      1 gpu006
          12255693       a40 FINETUNE   arturp  R   15:35:31      1 gpu041
          12260402       a40   bei_p9 sriharsh  R      18:27      1 gpu050
          12260378       a40   bei_p8 sriharsh  R      23:46      1 gpu048
          12260412       a40  bei_p10 sriharsh  R       4:23      1 gpu052
          12259081       a40 test_jup   ekansh  R    5:44:59      1 gpu001
          12259082       a40 test_jup   ekansh  R    5:44:59      1 gpu001
          12260141       a40  run1.sh soroushm  R    2:49:14      1 gpu056
          12259104       a40 FINETUNE   arturp  R    4:27:06      1 gpu032
          12259105       a40 FINETUNE   arturp  R    4:27:06      1 gpu049
          12259107       a40 FINETUNE   arturp  R    4:18:30      1 gpu051
          12260321       a40 lysto64_    field  R      56:52      1 gpu048
          12259126       a40 eval_sim sayromlo  R    3:14:13      1 gpu055
       12260380_18       a40 sweep-ma    wulin  R       0:17      1 gpu027
       12260380_17       a40 sweep-ma    wulin  R       2:45      1 gpu052
       12260380_15       a40 sweep-ma    wulin  R      12:44      1 gpu003
       12260380_16       a40 sweep-ma    wulin  R      12:44      1 gpu003
       12260380_14       a40 sweep-ma    wulin  R      15:51      1 gpu029
       12260380_13       a40 sweep-ma    wulin  R      20:31      1 gpu005
        12260380_1       a40 sweep-ma    wulin  R      21:02      1 gpu001
        12260380_2       a40 sweep-ma    wulin  R      21:02      1 gpu013
        12260380_3       a40 sweep-ma    wulin  R      21:02      1 gpu027
        12260380_4       a40 sweep-ma    wulin  R      21:02      1 gpu007
        12260380_5       a40 sweep-ma    wulin  R      21:02      1 gpu008
        12260380_6       a40 sweep-ma    wulin  R      21:02      1 gpu031
        12260380_7       a40 sweep-ma    wulin  R      21:02      1 gpu031
        12260380_8       a40 sweep-ma    wulin  R      21:02      1 gpu031
        12260380_9       a40 sweep-ma    wulin  R      21:02      1 gpu033
       12260380_10       a40 sweep-ma    wulin  R      21:02      1 gpu033
       12260380_11       a40 sweep-ma    wulin  R      21:02      1 gpu046
       12260380_12       a40 sweep-ma    wulin  R      21:02      1 gpu046
          12260350       a40 MaxViTRN     momo  R      34:38      1 gpu013
